tweet_id	date	time	lang	country_code
1512851099362881537	2022-04-09	17:53:04	ja	NULL
1512851099677605898	2022-04-09	17:53:04	en	NULL
1512851114969890816	2022-04-09	17:53:07	en	NULL
1512851118203748359	2022-04-09	17:53:08	und	NULL
1512851135362744321	2022-04-09	17:53:12	und	NULL
1512851135404679168	2022-04-09	17:53:12	es	NULL
1512851145693270017	2022-04-09	17:53:15	tr	NULL
1512851151577882628	2022-04-09	17:53:16	es	PE
1512851158930444288	2022-04-09	17:53:18	en	NULL
1512851168963272711	2022-04-09	17:53:20	es	NULL
1512851182166810629	2022-04-09	17:53:23	es	NULL
1512851185614602249	2022-04-09	17:53:24	pl	NULL
1512851188101828615	2022-04-09	17:53:25	en	NULL
1512851204216348674	2022-04-09	17:53:29	de	NULL
1512851209916407814	2022-04-09	17:53:30	pt	NULL
1512851216795115522	2022-04-09	17:53:32	it	NULL
1512851226316410880	2022-04-09	17:53:34	es	NULL
1512851240174202886	2022-04-09	17:53:37	tr	NULL
1512851240270680064	2022-04-09	17:53:37	en	NULL
1512851247870664708	2022-04-09	17:53:39	en	NULL
1512851252979281923	2022-04-09	17:53:40	en	NULL
1512851260944400386	2022-04-09	17:53:42	in	NULL
1512851264601829381	2022-04-09	17:53:43	in	NULL
1512851269056188417	2022-04-09	17:53:44	en	NULL
1512851274068332544	2022-04-09	17:53:45	tr	NULL
1512851274726883333	2022-04-09	17:53:45	en	NULL
1512851298261114883	2022-04-09	17:53:51	es	NULL
1512851298470838273	2022-04-09	17:53:51	en	NULL
1512851313968656386	2022-04-09	17:53:55	ja	NULL
1512851321820532736	2022-04-09	17:53:57	es	NULL
1512851321862463493	2022-04-09	17:53:57	en	NULL
1512851327973474308	2022-04-09	17:53:58	en	NULL
1512851333233131527	2022-04-09	17:53:59	nl	NULL
1512851340971888642	2022-04-09	17:54:01	th	NULL
1512851342481674240	2022-04-09	17:54:02	es	NULL
1512851353307074569	2022-04-09	17:54:04	und	NULL
1512851359007232006	2022-04-09	17:54:06	en	NULL
1512851363079860240	2022-04-09	17:54:07	no	NULL
1512851367563612161	2022-04-09	17:54:08	en	NULL
1512851371816538112	2022-04-09	17:54:09	en	NULL
1512851378347028486	2022-04-09	17:54:10	en	NULL
1512851378489769988	2022-04-09	17:54:10	fr	NULL
1512851391437438979	2022-04-09	17:54:13	de	NULL
1512851392893014020	2022-04-09	17:54:14	de	NULL
1512851395078152198	2022-04-09	17:54:14	en	NULL
1512851395841601537	2022-04-09	17:54:14	pt	NULL
1512851401411641349	2022-04-09	17:54:16	en	NULL
1512851402204188676	2022-04-09	17:54:16	en	NULL
1512851407866675200	2022-04-09	17:54:17	es	NULL
1512851408961384454	2022-04-09	17:54:17	es	NULL
1512851423662276609	2022-04-09	17:54:21	und	NULL
1512851430826299395	2022-04-09	17:54:23	en	NULL
1512851452166918150	2022-04-09	17:54:28	en	NULL
1512851454159212552	2022-04-09	17:54:28	tr	NULL
1512851465357996039	2022-04-09	17:54:31	es	NULL
1512851476057673731	2022-04-09	17:54:33	es	NULL
